Ticker,Company_Name_x,Industry_Sector_x,Stock_Price,PE_Ratio,Dividend_Yield,Earnings_Per_Share,52_Week_Low,52_Week_High,Market_Cap,EBITDA_Value,Price_to_Sales_Ratio,Price_to_Book_Ratio,SEC_Filings_Link,Company_Name_y,Industry_Sector_y,Headquarters,Date_Added,Matched_Company,Date,Open,High,Low,Close,Volume,Earnings_to_MarketCap_Ratio,Sector_Avg_PE_Ratio,Volume_to_MarketCap,Daily_Market_Movement,Region_Sector_Combo,30_Day_Rolling_Avg
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-17,130.34,132.95,130.08,130.21,4952015,5.709299130616462e-11,24.38,3.569764511906525e-05,2.869999999999976,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-16,133.51,134.4799,129.8675,130.46,5635829,5.709299130616462e-11,24.38,4.062706263889273e-05,4.61239999999998,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-15,136.01,137.4708,135.14,135.26,2541840,5.709299130616462e-11,24.38,1.832339002798756e-05,2.3308000000000106,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-14,138.11,138.29,134.43,136.01,3815806,5.709299130616462e-11,24.38,2.7507042775758937e-05,3.859999999999985,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-11,133.13,136.485,131.6608,135.95,3337840,5.709299130616462e-11,24.38,2.4061524002698043e-05,4.824200000000019,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-10,135.75,135.785,128.68,132.97,4757145,5.709299130616462e-11,24.38,3.429288360191471e-05,7.10499999999999,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-09,125.0,139.23,123.4443,138.32,6428141,5.709299130616462e-11,24.38,4.633861088734853e-05,15.785699999999991,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-08,132.24,133.87,124.82,127.16,5497234,5.709299130616462e-11,24.38,3.962797133458997e-05,9.050000000000011,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-07,124.73,134.37,121.9771,128.55,7174970,5.709299130616462e-11,24.38,5.172228533232222e-05,12.392900000000012,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-04,134.19,135.3122,126.43,126.91,9609106,5.709299130616462e-11,24.38,6.926926834823413e-05,8.882199999999983,"Saint Paul, Minnesota - Industrial Conglomerates",
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226",9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,3M Company,2025-04-03,142.84,144.49,138.855,139.74,6712325,5.709299130616462e-11,24.38,4.838721122085245e-05,5.635000000000019,"Saint Paul, Minnesota - Industrial Conglomerates",
